DATE,10Y Treasury,10Y TIPS
2018-01-22,2.66,0.6
2018-01-23,2.63,0.57
2018-01-24,2.65,0.58
2018-01-25,2.63,0.56
2018-01-26,2.66,0.57
2018-01-29,2.7,0.61
2018-01-30,2.73,0.63
2018-01-31,2.72,0.61
2018-02-01,2.78,0.67
2018-02-02,2.84,0.7
2018-02-05,2.77,0.67
2018-02-06,2.79,0.69
2018-02-07,2.84,0.74
2018-02-08,2.85,0.76
2018-02-09,2.83,0.78
2018-02-12,2.86,0.79
2018-02-13,2.83,0.78
2018-02-14,2.91,0.82
2018-02-15,2.9,0.79
2018-02-16,2.87,0.78
2018-02-20,2.88,0.78
2018-02-21,2.94,0.82
2018-02-22,2.92,0.81
2018-02-23,2.88,0.76
2018-02-26,2.86,0.73
2018-02-27,2.9,0.77
2018-02-28,2.87,0.75
2018-03-01,2.81,0.71
2018-03-02,2.86,0.74
2018-03-05,2.88,0.75
2018-03-06,2.88,0.76
2018-03-07,2.89,0.76
2018-03-08,2.86,0.75
2018-03-09,2.9,0.78
2018-03-12,2.87,0.77
2018-03-13,2.84,0.75
2018-03-14,2.81,0.74
2018-03-15,2.82,0.74
2018-03-16,2.85,0.77
2018-03-19,2.85,0.77
2018-03-20,2.89,0.81
2018-03-21,2.89,0.8
2018-03-22,2.83,0.75
2018-03-23,2.82,0.75
2018-03-26,2.85,0.77
2018-03-27,2.78,0.71
2018-03-28,2.77,0.72
2018-03-29,2.74,0.69
2018-04-02,2.73,0.68
2018-04-03,2.79,0.71
2018-04-04,2.79,0.71
2018-04-05,2.83,0.75
2018-04-06,2.77,0.7
2018-04-09,2.78,0.71
2018-04-10,2.8,0.72
2018-04-11,2.79,0.68
2018-04-12,2.83,0.7
2018-04-13,2.82,0.69
2018-04-16,2.83,0.71
2018-04-17,2.82,0.68
2018-04-18,2.87,0.71
2018-04-19,2.92,0.75
2018-04-20,2.96,0.79
2018-04-23,2.98,0.8
2018-04-24,3.0,0.83
2018-04-25,3.03,0.86
2018-04-26,3.0,0.82
2018-04-27,2.96,0.79
2018-04-30,2.95,0.78
2018-05-01,2.97,0.81
2018-05-02,2.97,0.8
2018-05-03,2.94,0.78
2018-05-04,2.95,0.79
2018-05-07,2.95,0.78
2018-05-08,2.97,0.81
2018-05-09,3.0,0.82
2018-05-10,2.97,0.8
2018-05-11,2.97,0.82
2018-05-14,3.0,0.85
2018-05-15,3.08,0.9
2018-05-16,3.09,0.92
2018-05-17,3.11,0.95
2018-05-18,3.06,0.91
2018-05-21,3.06,0.9
2018-05-22,3.06,0.91
2018-05-23,3.01,0.87
2018-05-24,2.98,0.86
2018-05-25,2.93,0.84
2018-05-29,2.77,0.73
2018-05-30,2.84,0.78
2018-05-31,2.83,0.76
2018-06-01,2.89,0.8
2018-06-04,2.94,0.82
2018-06-05,2.92,0.79
2018-06-06,2.97,0.83
2018-06-07,2.93,0.8
2018-06-08,2.93,0.82
2018-06-11,2.96,0.83
2018-06-12,2.96,0.83
2018-06-13,2.98,0.86
2018-06-14,2.94,0.82
2018-06-15,2.93,0.81
2018-06-18,2.92,0.8
2018-06-19,2.89,0.77
2018-06-20,2.93,0.81
2018-06-21,2.9,0.79
2018-06-22,2.9,0.78
2018-06-25,2.87,0.77
2018-06-26,2.88,0.76
2018-06-27,2.83,0.72
2018-06-28,2.84,0.74
2018-06-29,2.85,0.74
2018-07-02,2.87,0.73
2018-07-03,2.83,0.71
2018-07-05,2.84,0.71
2018-07-06,2.82,0.7
2018-07-09,2.86,0.73
2018-07-10,2.87,0.74
2018-07-11,2.85,0.74
2018-07-12,2.85,0.75
2018-07-13,2.83,0.72
2018-07-16,2.85,0.75
2018-07-17,2.86,0.77
2018-07-18,2.88,0.79
2018-07-19,2.84,0.75
2018-07-20,2.89,0.78
2018-07-23,2.96,0.85
2018-07-24,2.95,0.84
