Emittententicker,Name,Sektor,Gewichtung,Boerse
HPQ,HP INC,IT,0.11,New York Stock Exchange Inc.
EBAY,EBAY INC,Zyklische Konsumgüter ,0.11,NASDAQ
FTNT,FORTINET INC,IT,0.11,NASDAQ
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Zyklische Konsumgüter ,0.11,NASDAQ
SLB,SCHLUMBERGER NV,Energie,0.11,New York Stock Exchange Inc.
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,IT,0.11,NASDAQ
AZO,AUTOZONE INC,Zyklische Konsumgüter ,0.11,New York Stock Exchange Inc.
AEP,AMERICAN ELECTRIC POWER INC,Versorger,0.11,NASDAQ
PXD,PIONEER NATURAL RESOURCE,Energie,0.1,New York Stock Exchange Inc.
SIVB,SVB FINANCIAL GROUP,Financials,0.1,NASDAQ
PRU,PRUDENTIAL FINANCIAL INC,Financials,0.1,New York Stock Exchange Inc.
DD,DUPONT DE NEMOURS INC,Materialien,0.1,New York Stock Exchange Inc.
PH,PARKER-HANNIFIN CORP,Industrie,0.1,New York Stock Exchange Inc.
DOW,DOW INC,Materialien,0.1,New York Stock Exchange Inc.
MPC,MARATHON PETROLEUM CORP,Energie,0.1,New York Stock Exchange Inc.
SRE,SEMPRA,Versorger,0.1,New York Stock Exchange Inc.
HLT,HILTON WORLDWIDE HOLDINGS INC,Zyklische Konsumgüter ,0.1,New York Stock Exchange Inc.
BAX,BAXTER INTERNATIONAL INC,Gesundheitsversorgung,0.1,New York Stock Exchange Inc.
ROK,ROCKWELL AUTOMATION INC,Industrie,0.1,New York Stock Exchange Inc.
ROST,ROSS STORES INC,Zyklische Konsumgüter ,0.1,NASDAQ
CTAS,CINTAS CORP,Industrie,0.1,NASDAQ
YUM,YUM BRANDS INC,Zyklische Konsumgüter ,0.1,New York Stock Exchange Inc.
STZ,CONSTELLATION BRANDS INC CLASS A,Nichtzyklische Konsumgüter,0.1,New York Stock Exchange Inc.
PAYX,PAYCHEX INC,IT,0.1,NASDAQ
PPG,PPG INDUSTRIES INC,Materialien,0.1,New York Stock Exchange Inc.
GIS,GENERAL MILLS INC,Nichtzyklische Konsumgüter,0.1,New York Stock Exchange Inc.
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Immobilien,0.1,NASDAQ
RMD,RESMED INC,Gesundheitsversorgung,0.1,New York Stock Exchange Inc.
TRV,TRAVELERS COMPANIES INC,Financials,0.1,New York Stock Exchange Inc.
SYY,SYSCO CORP,Nichtzyklische Konsumgüter,0.1,New York Stock Exchange Inc.
GPN,GLOBAL PAYMENTS INC,IT,0.09,New York Stock Exchange Inc.
O,REALTY INCOME REIT CORP,Immobilien,0.09,New York Stock Exchange Inc.
FRC,FIRST REPUBLIC BANK,Financials,0.09,New York Stock Exchange Inc.
TWTR,TWITTER INC,Kommunikation,0.09,New York Stock Exchange Inc.
KEYS,KEYSIGHT TECHNOLOGIES INC,IT,0.09,New York Stock Exchange Inc.
OTIS,OTIS WORLDWIDE CORP,Industrie,0.09,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materialien,0.09,New York Stock Exchange Inc.
MTD,METTLER TOLEDO INC,Gesundheitsversorgung,0.09,New York Stock Exchange Inc.
MTCH,MATCH GROUP INC,Kommunikation,0.09,NASDAQ
VRSK,VERISK ANALYTICS INC,Industrie,0.09,NASDAQ
XEL,XCEL ENERGY INC,Versorger,0.09,NASDAQ
FAST,FASTENAL,Industrie,0.09,NASDAQ
MCK,MCKESSON CORP,Gesundheitsversorgung,0.09,New York Stock Exchange Inc.
WELL,WELLTOWER INC,Immobilien,0.09,New York Stock Exchange Inc.
EA,ELECTRONIC ARTS INC,Kommunikation,0.09,NASDAQ
EFX,EQUIFAX INC,Industrie,0.09,New York Stock Exchange Inc.
ADM,ARCHER DANIELS MIDLAND,Nichtzyklische Konsumgüter,0.09,New York Stock Exchange Inc.
AFL,AFLAC INC,Financials,0.09,New York Stock Exchange Inc.
CTVA,CORTEVA INC,Materialien,0.09,New York Stock Exchange Inc.
WBA,WALGREEN BOOTS ALLIANCE INC,Nichtzyklische Konsumgüter,0.09,NASDAQ
DHI,D R HORTON INC,Zyklische Konsumgüter ,0.09,New York Stock Exchange Inc.
